system   D            wsystem.c:583  maybe_parent_dir                 [   0.03975] Also searching D:\Iza\projekt\SNK\
display  D   display_settings.c:506  _al_score_display_settings       [   0.33646] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.33650] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33654] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.33658] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33662] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.33666] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33670] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.33674] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33678] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.33682] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33687] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.33691] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33696] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.33700] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33705] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.33708] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33714] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.33717] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33722] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.33727] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33733] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.33736] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33741] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.33745] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33751] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.33754] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33759] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.33763] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33768] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.33772] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33776] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33780] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33785] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33789] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33794] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33798] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33803] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33807] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33812] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33816] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33821] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33825] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33830] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33834] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33838] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33842] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33847] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33850] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33855] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33858] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33873] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33878] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33883] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33886] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33891] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33894] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33899] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33902] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33911] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33915] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
